architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
Direct_LLM_Scoring,3,Overall,0.159,0.1615,0.3436,0.7077,0.2203,0.2968,1.3473,0.2476,0.2492,0.171,0.2137,0.3339,0.3383,0.234,0.2676,195,0,195,gemini
Direct_LLM_Scoring,3,HVAC,-0.019,-0.0214,0.2429,0.6571,0.2421,0.3085,1.2743,0.2908,0.2778,0.1996,0.2002,0.3692,0.3534,0.2451,0.2439,70,0,0,gemini
Direct_LLM_Scoring,3,Appliance,-0.0462,-0.0923,0.2308,0.5692,0.2727,0.3592,1.3172,0.333,0.3709,0.1693,0.2177,0.4123,0.4433,0.2558,0.2901,65,0,0,gemini
Direct_LLM_Scoring,3,Shower,0.5889,0.65,0.5833,0.9167,0.1382,0.1882,1.3618,0.1047,0.0839,0.1393,0.2249,0.1384,0.1153,0.1924,0.2686,60,0,0,gemini
Direct_LLM_Scoring,4,Overall,0.1829,0.1667,0.3641,0.6923,0.2215,0.2976,1.3436,0.2522,0.2522,0.1691,0.2125,0.3377,0.3397,0.2308,0.2677,195,0,195,gemini
Direct_LLM_Scoring,4,HVAC,-0.0667,-0.0929,0.2429,0.5857,0.2446,0.3106,1.2698,0.2971,0.2857,0.1966,0.1991,0.3742,0.3588,0.2426,0.2413,70,0,0,gemini
Direct_LLM_Scoring,4,Appliance,-0.0051,-0.0769,0.2615,0.5692,0.2734,0.3603,1.3178,0.3373,0.3694,0.1654,0.2213,0.4155,0.4413,0.2487,0.3001,65,0,0,gemini
Direct_LLM_Scoring,4,Shower,0.6778,0.7333,0.6167,0.95,0.1383,0.1863,1.3471,0.1076,0.0862,0.1411,0.2185,0.1418,0.1178,0.1934,0.2596,60,0,0,gemini
Direct_LLM_Scoring,5,Overall,0.1863,0.1872,0.359,0.7128,0.2197,0.296,1.3473,0.247,0.2461,0.175,0.2109,0.3325,0.335,0.2386,0.2662,195,0,195,gemini
Direct_LLM_Scoring,5,HVAC,-0.0095,0.0,0.2571,0.6429,0.2387,0.3043,1.2748,0.2862,0.2729,0.2011,0.1946,0.3633,0.3464,0.2451,0.2418,70,0,0,gemini
