model,arch,run,decision_type,n,mean_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,random_pick_regret
gptoss,A_H,3,Appliance,65,0.00020769230769230703,0.9846153846153847,0.9846153846153847,1,0.013499999999999956,0.0898051282051282
gptoss,A_H,3,Shower,60,0.004799999999999999,0.8,0.8,12,0.023999999999999994,0.08522499999999998
gptoss,A_H,4,Overall,175,0.0015314285714285744,0.9142857142857143,0.9142857142857143,15,0.0178666666666667,0.07359047619047619
gptoss,A_H,4,HVAC,50,0.0010700000000000009,0.92,0.92,4,0.013375000000000012,0.03855000000000001
gptoss,A_H,4,Appliance,65,0.00020769230769230703,0.9846153846153847,0.9846153846153847,1,0.013499999999999956,0.0898051282051282
gptoss,A_H,4,Shower,60,0.0033500000000000084,0.8333333333333334,0.8333333333333334,10,0.020100000000000052,0.08522499999999998
gptoss,A_H,5,Overall,170,0.0017058823529411758,0.9117647058823529,0.9117647058823529,15,0.019333333333333324,0.07465392156862745
gptoss,A_H,5,HVAC,45,0.0008555555555555538,0.9333333333333333,0.9333333333333333,3,0.012833333333333308,0.03867407407407408
gptoss,A_H,5,Appliance,65,0.00020769230769230703,0.9846153846153847,0.9846153846153847,1,0.013499999999999956,0.0898051282051282
gptoss,A_H,5,Shower,60,0.003966666666666666,0.8166666666666667,0.8166666666666667,11,0.021636363636363634,0.08522499999999998
qwen,A_D,1,Overall,195,0.07474871794871796,0.26153846153846155,0.26153846153846155,144,0.10122222222222223,0.06951794871794871
qwen,A_D,1,HVAC,70,0.031828571428571435,0.3142857142857143,0.3142857142857143,48,0.04641666666666668,0.037216666666666676
qwen,A_D,1,Appliance,65,0.09990000000000003,0.2153846153846154,0.2153846153846154,51,0.1273235294117647,0.0898051282051282
qwen,A_D,1,Shower,60,0.09757499999999998,0.25,0.25,45,0.13009999999999997,0.08522499999999998
qwen,A_D,2,Overall,195,0.06897692307692307,0.3282051282051282,0.3282051282051282,131,0.10267557251908396,0.06951794871794871
qwen,A_D,2,HVAC,70,0.033971428571428576,0.4,0.4,42,0.056619047619047645,0.037216666666666676
qwen,A_D,2,Appliance,65,0.10815384615384617,0.2,0.2,52,0.13519230769230772,0.0898051282051282
qwen,A_D,2,Shower,60,0.067375,0.38333333333333336,0.38333333333333336,37,0.10925675675675676,0.08522499999999998
qwen,A_D,3,Overall,194,0.06499484536082475,0.30927835051546393,0.30927835051546393,134,0.09409701492537313,0.06931443298969071
qwen,A_D,3,HVAC,70,0.03835714285714287,0.3,0.3,49,0.05479591836734695,0.037216666666666676
qwen,A_D,3,Appliance,64,0.09215625000000001,0.234375,0.234375,49,0.12036734693877552,0.08950520833333334
qwen,A_D,3,Shower,60,0.06709999999999999,0.4,0.4,36,0.11183333333333333,0.08522499999999998
