model,arch,run,decision_type,tau,tau_csv,top1,top1_csv,mae,mae_csv,n,n_csv,max_abs_diff
deepseek,A_H,1,Appliance,0.959,0.959,0.9846,0.9846,0.0456,0.0456,65,65,0.0
deepseek,A_H,1,Shower,0.8111,0.8111,0.85,0.85,0.0262,0.0262,60,60,0.0
deepseek,A_H,2,Overall,0.89,0.89,0.8969,0.8969,0.0465,0.0465,194,194,0.0
deepseek,A_H,2,HVAC,0.913,0.913,0.913,0.913,0.0441,0.0441,69,69,0.0
deepseek,A_H,2,Appliance,0.9795,0.9795,0.9846,0.9846,0.0387,0.0387,65,65,0.0
deepseek,A_H,2,Shower,0.7667,0.7667,0.7833,0.7833,0.0576,0.0576,60,60,0.0
deepseek,A_H,3,Overall,0.894,0.894,0.9026,0.9026,0.0462,0.0462,195,195,0.0
deepseek,A_H,3,HVAC,0.9048,0.9048,0.9,0.9,0.043,0.043,70,70,0.0
deepseek,A_H,3,Appliance,0.9795,0.9795,0.9846,0.9846,0.0423,0.0423,65,65,0.0
deepseek,A_H,3,Shower,0.7889,0.7889,0.8167,0.8167,0.0542,0.0542,60,60,0.0
deepseek,A_H,4,Overall,0.9043,0.9043,0.9077,0.9077,0.0427,0.0427,195,195,0.0
deepseek,A_H,4,HVAC,0.9333,0.9333,0.9286,0.9286,0.0384,0.0384,70,70,0.0
deepseek,A_H,4,Appliance,0.9795,0.9795,0.9846,0.9846,0.037,0.037,65,65,0.0
deepseek,A_H,4,Shower,0.7889,0.7889,0.8,0.8,0.0538,0.0538,60,60,0.0
deepseek,A_H,5,Overall,0.8974,0.8974,0.9077,0.9077,0.0493,0.0493,195,195,0.0
deepseek,A_H,5,HVAC,0.9238,0.9238,0.9286,0.9286,0.0531,0.0531,70,70,0.0
deepseek,A_H,5,Appliance,0.9795,0.9795,0.9846,0.9846,0.0382,0.0382,65,65,0.0
deepseek,A_H,5,Shower,0.7778,0.7778,0.8,0.8,0.0569,0.0569,60,60,0.0
gemini,A_D,1,Overall,0.1897,0.1897,0.3846,0.3846,0.2164,0.2164,195,195,0.0
gemini,A_D,1,HVAC,-0.019,-0.019,0.2714,0.2714,0.2388,0.2388,70,70,0.0
gemini,A_D,1,Appliance,-0.0154,-0.0154,0.2769,0.2769,0.2677,0.2677,65,65,0.0
gemini,A_D,1,Shower,0.6556,0.6556,0.6333,0.6333,0.1349,0.1349,60,60,0.0
gemini,A_D,2,Overall,0.1624,0.1624,0.359,0.359,0.2188,0.2188,195,195,0.0
gemini,A_D,2,HVAC,-0.0476,-0.0476,0.2571,0.2571,0.2417,0.2417,70,70,0.0
gemini,A_D,2,Appliance,-0.0256,-0.0256,0.2462,0.2462,0.2711,0.2711,65,65,0.0
gemini,A_D,2,Shower,0.6111,0.6111,0.6,0.6,0.1356,0.1356,60,60,0.0
gemini,A_D,3,Overall,0.159,0.159,0.3436,0.3436,0.2198,0.2198,195,195,0.0
gemini,A_D,3,HVAC,-0.019,-0.019,0.2429,0.2429,0.2421,0.2421,70,70,0.0
gemini,A_D,3,Appliance,-0.0462,-0.0462,0.2308,0.2308,0.2727,0.2727,65,65,0.0
gemini,A_D,3,Shower,0.5889,0.5889,0.5833,0.5833,0.1363,0.1363,60,60,0.0
gemini,A_D,4,Overall,0.1829,0.1829,0.3641,0.3641,0.2209,0.2209,195,195,0.0
gemini,A_D,4,HVAC,-0.0667,-0.0667,0.2429,0.2429,0.2446,0.2446,70,70,0.0
gemini,A_D,4,Appliance,-0.0051,-0.0051,0.2615,0.2615,0.2734,0.2734,65,65,0.0
gemini,A_D,4,Shower,0.6778,0.6778,0.6167,0.6167,0.1364,0.1364,60,60,0.0
gemini,A_D,5,Overall,0.1863,0.1863,0.359,0.359,0.2191,0.2191,195,195,0.0
gemini,A_D,5,HVAC,-0.0095,-0.0095,0.2571,0.2571,0.2387,0.2387,70,70,0.0
gemini,A_D,5,Appliance,-0.0154,-0.0154,0.2308,0.2308,0.2754,0.2754,65,65,0.0
gemini,A_D,5,Shower,0.6333,0.6333,0.6167,0.6167,0.1353,0.1353,60,60,0.0
gemini,A_E,1,Overall,0.2852,0.2852,0.4691,0.4691,0.1587,0.1587,194,194,0.0
gemini,A_E,1,HVAC,-0.1304,-0.1304,0.1304,0.1304,0.2027,0.2027,69,69,0.0
gemini,A_E,1,Appliance,0.2923,0.2923,0.5385,0.5385,0.1611,0.1611,65,65,0.0
gemini,A_E,1,Shower,0.7556,0.7556,0.7833,0.7833,0.1054,0.1054,60,60,0.0
gemini,A_E,2,Overall,0.3299,0.3299,0.513,0.513,0.1575,0.1575,193,193,0.0
gemini,A_E,2,HVAC,-0.0725,-0.0725,0.2319,0.2319,0.2026,0.2026,69,69,0.0
gemini,A_E,2,Appliance,0.3542,0.3542,0.5625,0.5625,0.1586,0.1586,64,64,0.0
gemini,A_E,2,Shower,0.7667,0.7667,0.7833,0.7833,0.1045,0.1045,60,60,0.0
gemini,A_E,3,Overall,0.2953,0.2953,0.4663,0.4663,0.1586,0.1586,193,193,0.0
gemini,A_E,3,HVAC,-0.1238,-0.1238,0.1286,0.1286,0.2026,0.2026,70,70,0.0
gemini,A_E,3,Appliance,0.3333,0.3333,0.5556,0.5556,0.1596,0.1596,63,63,0.0
gemini,A_E,3,Shower,0.7444,0.7444,0.7667,0.7667,0.1062,0.1062,60,60,0.0
gemini,A_E,4,Overall,0.3195,0.3195,0.487,0.487,0.1572,0.1572,193,193,0.0
gemini,A_E,4,HVAC,-0.1143,-0.1143,0.1429,0.1429,0.1988,0.1988,70,70,0.0
gemini,A_E,4,Appliance,0.3545,0.3545,0.5556,0.5556,0.1595,0.1595,63,63,0.0
gemini,A_E,4,Shower,0.7889,0.7889,0.8167,0.8167,0.1062,0.1062,60,60,0.0
gemini,A_E,5,Overall,0.3194,0.3194,0.5,0.5,0.1599,0.1599,192,192,0.0
gemini,A_E,5,HVAC,-0.1401,-0.1401,0.1304,0.1304,0.2081,0.2081,69,69,0.0
