model,comparison,scope,metric,mean_ah,mean_base,mean_diff,n_pairs,n_nonzero_diff,n_ah_better,n_base_better,p_value,cliff_delta_ah_minus_base,cliff_interp,statistic,p_holm,family,significant_holm
gptoss,AH vs LU,Shower,kendall_tau,0.7866666666666666,0.8333333333333334,-0.04666666666666665,60,22,8,14,0.15662673556318604,-0.16305555555555556,small,91.5,1.0,bytype36,False
gptoss,AH vs LU,Shower,top1,0.8233333333333335,0.85,-0.02666666666666666,60,20,8,12,0.7345268972341787,-0.15,small,96.0,1.0,bytype36,False
gptoss,AH vs LU,Shower,mae,0.05281388888888889,0.03406944444444445,0.018744444444444442,60,45,13,32,0.00024866335680537234,0.2825,small,258.0,0.00845455413138266,bytype36,True
gptoss,AH vs LU-corpus,Overall,kendall_tau,0.9038373424971362,0.9381443298969072,-0.034306987399770894,194,33,8,25,0.05332812249449235,-0.10529811882240409,negligible,223.5,0.2133124899779694,overall12,False
gptoss,AH vs LU-corpus,Overall,top1,0.9193298969072166,0.9536082474226805,-0.034278350515463914,194,24,5,19,0.017788324616282467,-0.08728345201402912,negligible,67.5,0.10672994769769481,overall12,False
gptoss,AH vs LU-corpus,Overall,mae,0.05243091351660939,0.025532646048109963,0.026898267468499423,194,184,31,153,1.7088986592714108e-19,0.47308428100754596,medium,2096.0,2.050678391125693e-18,overall12,True
gptoss,AH vs LU-corpus,HVAC,kendall_tau,0.9460547504025764,0.9613526570048309,-0.015297906602254422,69,3,0,3,0.4911188504806727,-0.03759714345725688,negligible,10.0,1.0,bytype36,False
gptoss,AH vs LU-corpus,HVAC,top1,0.9384057971014492,0.9565217391304348,-0.018115942028985508,69,2,0,2,0.17971249487899976,-0.027725267800882167,negligible,0.0,1.0,bytype36,False
gptoss,AH vs LU-corpus,HVAC,mae,0.05297483896940419,0.02620772946859903,0.026767109500805155,69,68,11,57,8.388186625510703e-10,0.4240705734089477,medium,181.0,3.019747185183853e-08,bytype36,True
gptoss,AH vs LU-corpus,Appliance,kendall_tau,0.9671794871794873,0.9692307692307692,-0.002051282051282044,65,8,3,5,0.6725273104341224,-0.027218934911242602,negligible,15.0,1.0,bytype36,False
gptoss,AH vs LU-corpus,Appliance,top1,0.9876923076923078,0.9846153846153847,0.003076923076923076,65,2,1,1,0.6547208460185769,0.00023668639053254438,negligible,1.0,1.0,bytype36,False
gptoss,AH vs LU-corpus,Appliance,mae,0.0515,0.02861538461538462,0.02288461538461538,65,65,15,50,1.34708311777156e-05,0.5505325443786983,large,406.5,0.000404124935331468,bytype36,True
gptoss,AH vs LU-corpus,Shower,kendall_tau,0.7866666666666666,0.8777777777777779,-0.0911111111111111,60,22,5,17,0.059480838953848585,-0.2575,small,68.5,1.0,bytype36,False
gptoss,AH vs LU-corpus,Shower,top1,0.8233333333333335,0.9166666666666666,-0.09333333333333331,60,20,4,16,0.01862003445145057,-0.2388888888888889,small,42.5,0.42826079238336306,bytype36,False
gptoss,AH vs LU-corpus,Shower,mae,0.05281388888888889,0.021416666666666664,0.03139722222222222,60,51,5,46,7.71003312797714e-08,0.5208333333333334,large,108.5,2.698511594791999e-06,bytype36,True
gptoss,AH vs FD+time,Overall,kendall_tau,0.9038373424971362,0.900343642611684,0.003493699885452472,194,42,18,24,0.46221953432833085,-0.04803911148899989,negligible,452.5,1.0,overall12,False
gptoss,AH vs FD+time,Overall,top1,0.9193298969072166,0.9381443298969072,-0.01881443298969072,194,27,9,18,0.3225256637699073,-0.06998618344138591,negligible,148.0,1.0,overall12,False
gptoss,AH vs FD+time,Overall,mae,0.05243091351660939,0.062461340206185566,-0.010030426689576172,194,179,99,80,0.03386644595410356,-0.06496439579126369,negligible,6816.5,0.30479801358693204,overall12,False
gptoss,AH vs FD+time,HVAC,kendall_tau,0.9460547504025764,0.932367149758454,0.013687600644122392,69,10,5,5,0.2680074357466319,0.010291955471539592,negligible,25.0,1.0,bytype36,False
