baseline,scenario_id,decision_type,failed,kendall_tau,top1,mae
DM,63,HVAC,False,1.0,1.0,0.061666666666666675
DM,64,HVAC,False,1.0,1.0,0.01833333333333333
DM,65,HVAC,False,1.0,1.0,0.14583333333333331
DM,66,HVAC,False,1.0,1.0,0.2866666666666666
DM,67,HVAC,False,1.0,1.0,0.012500000000000011
DM,68,HVAC,False,1.0,1.0,0.22583333333333333
DM,69,HVAC,False,1.0,1.0,0.033333333333333326
DM,70,HVAC,False,1.0,1.0,0.0625
DM,71,Appliance,False,1.0,1.0,0.08416666666666665
DM,72,Appliance,False,-0.33333333333333337,0.0,0.42750000000000005
DM,73,Appliance,False,-1.0,0.0,0.2283333333333333
DM,74,Appliance,False,0.33333333333333337,0.0,0.2241666666666667
DM,75,Appliance,False,-0.33333333333333337,0.0,0.38666666666666655
DM,76,Appliance,False,-1.0,0.0,0.3283333333333333
DM,77,Appliance,False,0.33333333333333337,1.0,0.24249999999999994
DM,78,Appliance,False,1.0,1.0,0.06249999999999998
DM,79,Appliance,False,1.0,1.0,0.21833333333333335
DM,80,Appliance,False,0.33333333333333337,1.0,0.10833333333333335
DM,81,Appliance,False,0.33333333333333337,0.0,0.15583333333333335
DM,82,Appliance,False,1.0,1.0,0.1025
DM,83,Appliance,False,-1.0,0.0,0.5299999999999999
DM,84,Appliance,False,1.0,1.0,0.26833333333333337
DM,85,Appliance,False,0.33333333333333337,0.0,0.165
DM,86,Appliance,False,-1.0,0.0,0.33499999999999996
DM,87,Appliance,False,0.33333333333333337,0.0,0.1991666666666667
DM,88,Appliance,False,1.0,1.0,0.33416666666666667
DM,89,Appliance,False,0.33333333333333337,0.0,0.1708333333333333
DM,90,Appliance,False,1.0,1.0,0.12500000000000003
DM,91,Appliance,False,0.33333333333333337,0.0,0.25083333333333335
DM,92,Appliance,False,1.0,1.0,0.3816666666666666
DM,93,Appliance,False,1.0,1.0,0.32249999999999995
DM,94,Appliance,False,1.0,1.0,0.08916666666666667
DM,95,Appliance,False,-1.0,0.0,0.23166666666666666
DM,96,Appliance,False,-0.33333333333333337,0.0,0.2333333333333333
DM,97,Appliance,False,-0.33333333333333337,0.0,0.46749999999999997
DM,98,Appliance,False,-1.0,0.0,0.4991666666666667
DM,99,Appliance,False,-1.0,0.0,0.2525
DM,100,Appliance,False,0.33333333333333337,1.0,0.14250000000000004
DM,101,Appliance,False,1.0,1.0,0.31416666666666665
DM,102,Appliance,False,1.0,1.0,0.16916666666666666
DM,103,Appliance,False,1.0,1.0,0.19000000000000003
DM,104,Appliance,False,1.0,1.0,0.21666666666666667
DM,105,Appliance,False,-1.0,0.0,0.17750000000000002
DM,106,Appliance,False,-1.0,0.0,0.2041666666666667
DM,107,Appliance,False,-0.33333333333333337,0.0,0.3233333333333333
DM,108,Appliance,False,-1.0,0.0,0.23583333333333334
DM,109,Appliance,False,0.33333333333333337,0.0,0.2333333333333333
DM,110,Appliance,False,-0.33333333333333337,0.0,0.36833333333333335
DM,111,Appliance,False,0.33333333333333337,1.0,0.12083333333333333
DM,112,Appliance,False,0.33333333333333337,0.0,0.26333333333333336
DM,113,Appliance,False,0.33333333333333337,0.0,0.11499999999999999
DM,114,Appliance,False,1.0,1.0,0.12333333333333334
DM,115,Appliance,False,1.0,1.0,0.23416666666666663
DM,116,Appliance,False,1.0,1.0,0.10999999999999999
DM,117,Appliance,False,0.33333333333333337,1.0,0.26416666666666666
DM,118,Appliance,False,-1.0,0.0,0.3016666666666667
DM,119,Appliance,False,-1.0,0.0,0.30583333333333335
DM,120,Appliance,False,-1.0,0.0,0.44083333333333335
DM,121,Appliance,False,-0.33333333333333337,0.0,0.15583333333333335
DM,122,Appliance,False,-0.33333333333333337,0.0,0.465
DM,123,Appliance,False,-0.33333333333333337,0.0,0.21833333333333335
DM,124,Appliance,False,1.0,1.0,0.2525
DM,125,Appliance,False,0.33333333333333337,1.0,0.11249999999999998
DM,126,Appliance,False,0.33333333333333337,1.0,0.13000000000000003
DM,127,Appliance,False,0.33333333333333337,1.0,0.18333333333333335
DM,128,Appliance,False,0.33333333333333337,1.0,0.2983333333333334
DM,129,Appliance,False,0.33333333333333337,0.0,0.15916666666666668
DM,130,Appliance,False,1.0,1.0,0.10333333333333332
DM,131,Appliance,False,0.33333333333333337,1.0,0.3408333333333333
DM,132,Appliance,False,0.33333333333333337,1.0,0.17249999999999996
DM,133,Appliance,False,0.33333333333333337,0.0,0.13583333333333333
DM,134,Appliance,False,0.33333333333333337,1.0,0.29250000000000004
DM,135,Appliance,False,1.0,1.0,0.09000000000000001
DM,136,Shower,False,-1.0,0.0,0.12
DM,137,Shower,False,0.33333333333333337,1.0,0.1425
DM,138,Shower,False,0.33333333333333337,0.0,0.11833333333333333
DM,139,Shower,False,1.0,1.0,0.023333333333333334
DM,140,Shower,False,0.33333333333333337,0.0,0.13416666666666668
DM,141,Shower,False,1.0,1.0,0.029166666666666664
DM,142,Shower,False,-0.33333333333333337,0.0,0.1025
DM,143,Shower,False,0.33333333333333337,0.0,0.10916666666666668
DM,144,Shower,False,1.0,1.0,0.016666666666666666
DM,145,Shower,False,1.0,1.0,0.09166666666666667
DM,146,Shower,False,1.0,1.0,0.09833333333333333
DM,147,Shower,False,1.0,1.0,0.029166666666666664
DM,148,Shower,False,1.0,1.0,0.0
DM,149,Shower,False,1.0,1.0,0.09083333333333334
DM,150,Shower,False,1.0,1.0,0.1366666666666667
DM,151,Shower,False,1.0,1.0,0.0675
DM,152,Shower,False,1.0,1.0,0.049166666666666664
DM,153,Shower,False,1.0,1.0,0.13333333333333333
DM,154,Shower,False,0.33333333333333337,1.0,0.08666666666666667
DM,155,Shower,False,1.0,1.0,0.050833333333333335
DM,156,Shower,False,1.0,1.0,0.0625
DM,157,Shower,False,1.0,1.0,0.07083333333333333
DM,158,Shower,False,1.0,1.0,0.12000000000000001
DM,159,Shower,False,1.0,1.0,0.13416666666666668
DM,160,Shower,False,1.0,1.0,0.13249999999999998
DM,161,Shower,False,1.0,1.0,0.05416666666666666
DM,162,Shower,False,1.0,1.0,0.023333333333333334
DM,163,Shower,False,1.0,1.0,0.0575
DM,164,Shower,False,1.0,1.0,0.0
DM,165,Shower,False,1.0,1.0,0.06083333333333333
DM,166,Shower,False,0.33333333333333337,0.0,0.09500000000000001
DM,167,Shower,False,1.0,1.0,0.041666666666666664
DM,168,Shower,False,0.33333333333333337,0.0,0.09250000000000001
DM,169,Shower,False,1.0,1.0,0.024999999999999998
DM,170,Shower,False,1.0,1.0,0.0
DM,171,Shower,False,1.0,1.0,0.0
DM,172,Shower,False,1.0,1.0,0.06416666666666666
DM,173,Shower,False,1.0,1.0,0.0
DM,174,Shower,False,1.0,1.0,0.06333333333333334
DM,175,Shower,False,1.0,1.0,0.0
DM,176,Shower,False,1.0,1.0,0.0
DM,177,Shower,False,1.0,1.0,0.06
DM,178,Shower,False,1.0,1.0,0.0
DM,179,Shower,False,1.0,1.0,0.0
DM,180,Shower,False,1.0,1.0,0.09749999999999999
DM,181,Shower,False,1.0,1.0,0.15416666666666665
DM,182,Shower,False,1.0,1.0,0.03833333333333333
DM,183,Shower,False,1.0,1.0,0.0
DM,184,Shower,False,1.0,1.0,0.09583333333333333
DM,185,Shower,False,1.0,1.0,0.0
DM,186,Shower,False,1.0,1.0,0.0
DM,187,Shower,False,1.0,1.0,0.0
DM,188,Shower,False,1.0,1.0,0.06
DM,189,Shower,False,-0.33333333333333337,0.0,0.03166666666666668
DM,190,Shower,False,1.0,1.0,0.0
DM,191,Shower,False,1.0,1.0,0.0
DM,192,Shower,False,0.33333333333333337,1.0,0.03333333333333335
DM,193,Shower,False,-1.0,0.0,0.13499999999999998
DM,194,Shower,False,1.0,1.0,0.08833333333333333
DM,195,Shower,False,1.0,1.0,0.03583333333333333
FD+time,1,HVAC,False,1.0,1.0,0.019166666666666648
FD+time,2,HVAC,False,1.0,1.0,0.04249999999999998
FD+time,3,HVAC,False,1.0,1.0,0.05083333333333334
FD+time,4,HVAC,False,1.0,1.0,0.03500000000000001
FD+time,5,HVAC,False,0.33333333333333337,1.0,0.02583333333333333
FD+time,6,HVAC,False,1.0,1.0,0.085
FD+time,7,HVAC,False,1.0,1.0,0.12583333333333332
FD+time,8,HVAC,False,1.0,1.0,0.017499999999999977
FD+time,9,HVAC,False,1.0,1.0,0.05166666666666667
FD+time,10,HVAC,False,1.0,1.0,0.02250000000000002
FD+time,11,HVAC,False,1.0,1.0,0.06749999999999999
FD+time,12,HVAC,False,0.33333333333333337,1.0,0.0583333333333333
FD+time,13,HVAC,False,1.0,1.0,0.10000000000000002
FD+time,14,HVAC,False,1.0,1.0,0.06916666666666664
FD+time,15,HVAC,False,1.0,1.0,0.06250000000000001
FD+time,16,HVAC,False,1.0,1.0,0.04583333333333331
FD+time,17,HVAC,False,1.0,1.0,0.07250000000000001
FD+time,18,HVAC,False,1.0,1.0,0.04833333333333336
FD+time,19,HVAC,False,1.0,1.0,0.065
FD+time,20,HVAC,False,1.0,1.0,0.04583333333333334
FD+time,21,HVAC,False,1.0,1.0,0.07416666666666667
FD+time,22,HVAC,False,1.0,1.0,0.024166666666666666
FD+time,23,HVAC,False,1.0,1.0,0.04583333333333334
FD+time,24,HVAC,False,1.0,1.0,0.039166666666666676
FD+time,25,HVAC,False,1.0,1.0,0.030000000000000002
FD+time,26,HVAC,False,1.0,1.0,0.12000000000000001
FD+time,27,HVAC,False,1.0,1.0,0.061666666666666654
FD+time,28,HVAC,False,1.0,1.0,0.17833333333333332
FD+time,29,HVAC,False,1.0,1.0,0.15
FD+time,30,HVAC,False,1.0,1.0,0.03166666666666665
FD+time,31,HVAC,False,1.0,1.0,0.09749999999999999
FD+time,32,HVAC,False,1.0,1.0,0.15333333333333335
FD+time,33,HVAC,False,1.0,1.0,0.045833333333333316
FD+time,34,HVAC,False,1.0,1.0,0.04416666666666664
FD+time,35,HVAC,False,1.0,1.0,0.14583333333333334
FD+time,36,HVAC,False,1.0,1.0,0.010000000000000009
FD+time,37,HVAC,False,1.0,1.0,0.041666666666666685
FD+time,38,HVAC,False,0.33333333333333337,1.0,0.01416666666666668
FD+time,39,HVAC,False,1.0,1.0,0.025833333333333337
FD+time,40,HVAC,False,1.0,1.0,0.010000000000000009
FD+time,41,HVAC,False,1.0,1.0,0.0050000000000000044
FD+time,42,HVAC,False,1.0,1.0,0.16666666666666666
FD+time,43,HVAC,False,1.0,1.0,0.03833333333333332
FD+time,44,HVAC,False,0.33333333333333337,0.0,0.054166666666666675
FD+time,45,HVAC,False,1.0,1.0,0.17583333333333337
FD+time,46,HVAC,False,0.33333333333333337,1.0,0.15416666666666665
FD+time,47,HVAC,False,1.0,1.0,0.07666666666666666
FD+time,48,HVAC,False,1.0,1.0,0.1975
