model,arch,run,decision_type,n,mean_regret,mean_norm_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,zero_regret_share_given_miss,max_regret,random_pick_regret
deepseek,A_H,5,Appliance,65,0.00020769230769230703,0.001228948566226669,0.9846153846153847,0.9846153846153847,1,0.013499999999999956,0.0,0.013499999999999956,0.0898051282051282
deepseek,A_H,5,Shower,60,0.004175000000000001,0.06709375669855953,0.8,0.8,12,0.020875000000000005,0.0,0.04799999999999982,0.08522499999999998
gemini,A_D,1,Overall,195,0.047956410256410266,0.3888435781859188,0.38461538461538464,0.38461538461538464,120,0.07792916666666667,0.0,0.2815,0.06951794871794871
gemini,A_D,1,HVAC,70,0.038621428571428584,0.47664329367514763,0.2714285714285714,0.2714285714285714,51,0.05300980392156864,0.0,0.169,0.037216666666666676
gemini,A_D,1,Appliance,65,0.08896923076923077,0.5429011142829729,0.27692307692307694,0.27692307692307694,47,0.12304255319148939,0.0,0.2815,0.0898051282051282
gemini,A_D,1,Shower,60,0.014416666666666661,0.11951491267667667,0.6333333333333333,0.6333333333333333,22,0.0393181818181818,0.0,0.1459999999999999,0.08522499999999998
gemini,A_D,2,Overall,195,0.04961282051282051,0.40409355411359504,0.358974358974359,0.358974358974359,125,0.07739600000000003,0.0,0.2815,0.06951794871794871
gemini,A_D,2,HVAC,70,0.04086428571428573,0.5103871952429437,0.2571428571428571,0.2571428571428571,52,0.0550096153846154,0.0,0.169,0.037216666666666676
gemini,A_D,2,Appliance,65,0.09031538461538462,0.5446288919116922,0.24615384615384617,0.24615384615384617,49,0.1198061224489796,0.0,0.2815,0.0898051282051282
gemini,A_D,2,Shower,60,0.015724999999999996,0.1278376901814162,0.6,0.6,24,0.039312499999999986,0.0,0.1459999999999999,0.08522499999999998
gemini,A_D,3,Overall,195,0.051725641025641034,0.42417795586251783,0.3435897435897436,0.3435897435897436,128,0.07880078125000001,0.0,0.2815,0.06951794871794871
gemini,A_D,3,HVAC,70,0.04302857142857145,0.53799047518237,0.24285714285714285,0.24285714285714285,53,0.05683018867924531,0.0,0.169,0.037216666666666676
gemini,A_D,3,Appliance,65,0.09139230769230769,0.5576407120055383,0.23076923076923078,0.23076923076923078,50,0.11881000000000003,0.0,0.2815,0.0898051282051282
gemini,A_D,3,Shower,60,0.018899999999999993,0.1468120308344182,0.5833333333333334,0.5833333333333334,25,0.045359999999999984,0.0,0.12549999999999994,0.08522499999999998
gemini,A_D,4,Overall,195,0.049753846153846155,0.408313700261787,0.3641025641025641,0.3641025641025641,124,0.078241935483871,0.0,0.2815,0.06951794871794871
gemini,A_D,4,HVAC,70,0.0408857142857143,0.533203321962762,0.24285714285714285,0.24285714285714285,53,0.05400000000000002,0.0,0.169,0.037216666666666676
gemini,A_D,4,Appliance,65,0.08887692307692309,0.5378596611424614,0.26153846153846155,0.26153846153846155,48,0.12035416666666669,0.0,0.2815,0.0898051282051282
gemini,A_D,4,Shower,60,0.01771666666666665,0.12226768398991882,0.6166666666666667,0.6166666666666667,23,0.04621739130434781,0.0,0.1459999999999999,0.08522499999999998
gemini,A_D,5,Overall,195,0.0506923076923077,0.39925053222687495,0.358974358974359,0.358974358974359,125,0.07908000000000003,0.0,0.2815,0.06951794871794871
gemini,A_D,5,HVAC,70,0.04082857142857145,0.4910460947975747,0.2571428571428571,0.2571428571428571,52,0.05496153846153849,0.0,0.169,0.037216666666666676
gemini,A_D,5,Appliance,65,0.09066923076923078,0.5519246888982108,0.23076923076923078,0.23076923076923078,50,0.11787000000000003,0.0,0.2815,0.0898051282051282
gemini,A_D,5,Shower,60,0.018891666666666657,0.12675870616711124,0.6166666666666667,0.6166666666666667,23,0.04928260869565215,0.0,0.1459999999999999,0.08522499999999998
gemini,A_E,1,Overall,194,0.03336597938144331,0.37498704895658413,0.4690721649484536,0.4690721649484536,103,0.06284466019417478,0.0,0.2124999999999999,0.06972766323024054
gemini,A_E,1,HVAC,69,0.04697101449275364,0.6393153286144776,0.13043478260869565,0.13043478260869565,60,0.05401666666666669,0.0,0.169,0.037338164251207735
gemini,A_E,1,Appliance,65,0.04394615384615386,0.3510430076658771,0.5384615384615384,0.5384615384615384,30,0.09521666666666669,0.0,0.2124999999999999,0.0898051282051282
