model,arch,run,decision_type,n,any_tie_share,top_tie_share,top_tie_input_order_share,all_three_identical_share,n_top_tie,gt_in_tied_top_share,gt_first_in_tie_share,shipped_hit_in_ties,top1_shipped,top1_random_tiebreak,top1_input_order_only,top1_ties_as_miss,shipped_top_pos1_share
gptoss,A_E,1,Shower,60,0.016666666666666666,0.0,0.0,0.0,0,,,,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6
gptoss,A_E,2,Overall,195,0.05641025641025641,0.041025641025641026,0.035897435897435895,0.0,8,0.625,0.5,0.5,0.48205128205128206,0.47435897435897434,0.48205128205128206,0.46153846153846156,0.37948717948717947
gptoss,A_E,2,HVAC,70,0.07142857142857142,0.07142857142857142,0.05714285714285714,0.0,5,0.4,0.2,0.2,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.44285714285714284,0.24285714285714285
gptoss,A_E,2,Appliance,65,0.06153846153846154,0.03076923076923077,0.03076923076923077,0.0,2,1.0,1.0,1.0,0.3076923076923077,0.2923076923076923,0.3076923076923077,0.27692307692307694,0.27692307692307694
gptoss,A_E,2,Shower,60,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.0,1,1.0,1.0,1.0,0.7,0.6916666666666667,0.7,0.6833333333333333,0.65
gptoss,A_E,3,Overall,195,0.06666666666666667,0.035897435897435895,0.020512820512820513,0.0,7,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.49230769230769234,0.49230769230769234,0.49230769230769234,0.48717948717948717,0.36923076923076925
gptoss,A_E,3,HVAC,70,0.07142857142857142,0.04285714285714286,0.014285714285714285,0.0,3,0.3333333333333333,0.0,0.0,0.5142857142857142,0.5214285714285715,0.5142857142857142,0.5142857142857142,0.2
gptoss,A_E,3,Appliance,65,0.1076923076923077,0.06153846153846154,0.046153846153846156,0.0,4,0.25,0.25,0.25,0.3076923076923077,0.3,0.3076923076923077,0.2923076923076923,0.27692307692307694
gptoss,A_E,3,Shower,60,0.016666666666666666,0.0,0.0,0.0,0,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
gptoss,A_E,4,Overall,195,0.06666666666666667,0.041025641025641026,0.03076923076923077,0.0,8,0.625,0.5,0.625,0.4666666666666667,0.45384615384615384,0.46153846153846156,0.441025641025641,0.3333333333333333
gptoss,A_E,4,HVAC,70,0.08571428571428572,0.04285714285714286,0.02857142857142857,0.0,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4857142857142857,0.4714285714285714,0.4714285714285714,0.45714285714285713,0.15714285714285714
gptoss,A_E,4,Appliance,65,0.06153846153846154,0.046153846153846156,0.046153846153846156,0.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26153846153846155,0.25384615384615383,0.26153846153846155,0.24615384615384617,0.23076923076923078
